path,file_type,bytes,sha256,audit_status,checkpoint_commit
plots/velocity_vs_barrel.png,image/plot,43816,83be9569fc4df3bda59baf17ade0907413ece53e28dcd38152f5ed0f22a734b3,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
requirements.txt,project file,23,8bc37f312237b9b51b00a1c087fe7b6107ed429af646d4b24dc26a03e726a5ad,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/analysis.py,python script,2467,6fe622ec549cd97d7367340ef7ef8c4fe0256d340a01bfeeadba9d9f7ae2583a,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/calculate_charge.py,python script,1053,3859c14d8e568cb3207136ef4161952ac6d48f39a50402ea9a930686f29222a2,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/calculate_metrics.py,python script,1033,cb778828006d00115f2825753ad32615cbf64f1ae3fb23e4878182425a797fef,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/compute_ba_eff.py,python script,608,b9f6cf824caabeaf02e3bfbb70e84b4676403fc293d722311244c58144ee31e9,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/compute_predictions.py,python script,1308,fb69753602e325eb401925f2e36e91fae7dca97bba6251a09a8a4352160169c2,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/create_db.py,python script,4094,d38f6b079716452fcc5a3fb4bdf60abaa07377af88876fd4ff07913a5e2b9ddd,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/parse_grt_cartridge.py,python script,4521,d24e24526344161701e04f672dfc98ddb7cfe10b16ca6a0a97d740227e105e55,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/parse_grt_prop.py,python script,3928,29a5f8abe1a005ac8db050049f68d6910426be5a7a2d7ff5a1cf7b508d575fd7,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/plot_data.py,python script,4586,b0ad2b87995b6df0ed886448dcd75b3024bc7143fa97d6d40d85418971557c86,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/plot_rc_bulletweight.py,python script,2509,82b23a651baba37606a76c35232644a50977fe3b81a7d100d4866d40749ecb60,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/plot_rc_sd.py,python script,3141,507c352ff3ccc4e67a5bfcf787967f1f988d18223fbf1ce44322685a3105faf3,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
scripts/propellant_selector.py,python script,5004,31b2f065abdec54b7b6a50a8763736a97c8052e60f105dca136b4c9793cc999b,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
